type,price,position,capital,confidence,stop_loss,take_profit,reason,profit
buy,82800.49,0.003224584882712387,9733.002791664821,0.6500255091017175,81817.77035714286,84765.9292857143,signal,
take_profit,84785.16,,10006.399736879172,0.0,,,take_profit,6.399736879172788
buy,84777.96,0.003494555250824193,9710.138471607008,0.7436817510740549,83891.335,86551.21000000002,signal,
trailing_stop,84126.5,,10004.12317391547,0.6708958716598622,,,trailing_stop,-2.276562963701951
buy,84264.85,0.003277839748315115,9727.916499199659,0.6547031991475982,83542.83571428571,85708.87857142858,signal,
trailing_stop,84229.64,,10004.00776117793,0.6418106184231123,,,trailing_stop,-0.11541273753819618
buy,84237.5,0.003351378323200047,9721.696029677367,0.6593877407774185,83685.31607142856,85341.86785714286,signal,
trailing_stop,84537.74,,10005.01397900569,0.6560515587130283,,,trailing_stop,1.0062178277575997
buy,84554.0,0.003348920811586881,9721.849328702772,0.6447504080151297,84179.30357142857,85303.39285714287,signal,
trailing_stop,84001.99,,10003.165341228485,0.0,,,trailing_stop,-1.8486377772040568
buy,83980.04,0.0032090714175072484,9733.667395223369,0.6022267665179013,83559.06857142856,84821.98285714285,signal,
close_long,84438.06,,10004.63516011913,0.7224049917853084,,,signal,1.469818890646683
buy,84386.7,0.0038041350685251176,9683.616755332023,0.7627922536578378,84131.10535714285,84897.88928571428,signal,
trailing_stop,84128.63,,10003.653426981997,0.6988437632679309,,,trailing_stop,-0.9817331371342483
buy,84059.99,0.003565919135349159,9703.902300123738,0.6885266404074313,83822.9275,84534.115,signal,
close_long,84300.01,,10004.509318892864,0.7410348321546842,,,signal,0.8558919108664678
buy,84399.99,0.0037912820693004464,9684.525150156727,0.7559328911785257,84175.93642857143,84848.09714285715,signal,
trailing_stop,84171.06,,10003.64138068874,0.6710033347082738,,,trailing_stop,-0.8679382041249799
buy,84154.36,0.003525738566954294,9706.935108059384,0.6762603174403108,83936.25464285714,84590.57071428571,signal,
take_profit,84650.0,,10005.388877752066,0.0,,,take_profit,1.7474970633252243
buy,84518.0,0.0038998155693579085,9675.784265461074,0.7929856600386436,84253.21785714287,85047.56428571428,signal,
trailing_stop,84308.0,,10004.5699164825,0.7018972513708845,,,trailing_stop,-0.8189612695651608
buy,84309.1,0.0036499676799388613,9696.844426357766,0.710169385992396,84125.09464285715,84677.1107142857,signal,
trailing_stop,84391.94,,10004.872279805106,0.6342548205730136,,,trailing_stop,0.30236332260612253
buy,84446.1,0.0033251658870874852,9724.074988787528,0.6173327659809886,84278.09285714287,84782.11428571428,signal,
trailing_stop,84325.01,,10004.46963546784,0.0,,,trailing_stop,-0.40264433726746035
