type,price,position,capital,confidence,stop_loss,take_profit,reason,profit
buy,1907.92,0.1548543475261703,9704.550293267868,0.7757580036097522,1881.2003571428575,1961.3592857142855,signal,
trailing_stop,1915.69,,10001.203218280278,0.653044910544044,,,trailing_stop,1.2032182802783404
buy,1921.83,0.1356344136993969,9740.536933000365,0.616581673537011,1901.3121428571428,1962.8657142857141,signal,
trailing_stop,1928.75,,10002.141808423077,0.6646540371988073,,,trailing_stop,0.9385901427998364
buy,1931.67,0.14012360874312013,9731.469237122254,0.6142158726775481,1920.0753571428572,1954.8592857142858,signal,
trailing_stop,1931.0,,10002.047925605219,0.6607778066338075,,,trailing_stop,-0.09388281785790069
buy,1928.62,0.15126722490943195,9710.31093030039,0.6862624698630855,1917.4271428571426,1951.0057142857142,signal,
trailing_stop,1919.03,,10000.597272918336,0.0,,,trailing_stop,-1.45065268688144
buy,1924.31,0.13929190948590062,9732.556458575522,0.6029408432373875,1913.2992857142856,1946.3314285714287,signal,
close_long,1925.35,,10000.742136504201,0.724382251434105,,,signal,0.14486358586533157
buy,1926.85,0.16314023183664206,9686.395380789767,0.7482677200894794,1919.310714285714,1941.9285714285713,signal,
trailing_stop,1919.71,,9999.577315248887,0.6405394659118264,,,trailing_stop,-1.1648212553136035
buy,1920.16,0.1459678094204678,9719.295766312081,0.6294655792513069,1913.0582142857143,1934.3635714285715,signal,
trailing_stop,1912.47,,9998.454822794443,0.600847075068403,,,trailing_stop,-1.1224924544434054
buy,1916.22,0.15126328106137282,9708.60109835902,0.6650602721054126,1908.527142857143,1931.6057142857142,signal,
trailing_stop,1909.87,,9997.494300959705,0.640241066945537,,,trailing_stop,-0.9605218347397381
buy,1908.52,0.14347751548079785,9723.664593114292,0.6134588344050409,1900.0039285714286,1925.5521428571428,signal,
close_long,1921.47,,9999.35233478518,0.7412949389764214,,,signal,1.8580338254763387
buy,1920.08,0.16570933711883531,9681.177150770047,0.7670000653934594,1911.4246428571428,1937.3907142857142,signal,
trailing_stop,1925.5,,10000.250479392364,0.616900138647926,,,trailing_stop,0.8981446071840995
buy,1926.99,0.15469042670615282,9702.163574033873,0.6986715844897684,1918.0257142857142,1944.9185714285716,signal,
trailing_stop,1924.26,,9999.828174527454,0.6890480752813424,,,trailing_stop,-0.4223048649078
buy,1926.7,0.14425914241867427,9721.884084829395,0.6201187673013446,1919.8910714285714,1940.3178571428573,signal,
trailing_stop,1921.0,,9999.005897415667,0.6852379066938574,,,trailing_stop,-0.8222771117864499
buy,1919.68,0.15491194760254873,9701.624529842007,0.6866680404405997,1912.9442857142858,1933.1514285714288,signal,
trailing_stop,1915.5,,9998.358365474689,0.5950861973456403,,,trailing_stop,-0.6475319409786635
buy,1919.69,0.1654156417752468,9680.811612115165,0.7533253210975295,1913.5078571428571,1932.0542857142857,signal,
trailing_stop,1920.56,,9998.502277083033,0.6510915265509172,,,trailing_stop,0.14391160834444666
buy,1925.31,0.17218207684333794,9666.998402715786,0.8047796209342225,1918.3457142857142,1939.2385714285713,signal,
trailing_stop,1926.81,,9998.760550198298,0.6610055466833301,,,trailing_stop,0.2582731152650069
buy,1927.92,0.14531490009764728,9718.605048002042,0.6235794043779149,1922.1414285714286,1939.4771428571428,signal,
trailing_stop,1924.66,,9998.28682362398,0.6977830679800172,,,trailing_stop,-0.4737265743183288
buy,1923.0,0.15794301316454512,9694.562409308559,0.7065953775759439,1916.6803571428572,1935.6392857142855,signal,
trailing_stop,1927.17,,9998.945445988875,0.6941956622154363,,,trailing_stop,0.6586223648961647
buy,1927.39,0.14547385931950566,9718.560584275052,0.6249264684074787,1921.4703571428572,1939.2292857142859,signal,
trailing_stop,1924.32,,9998.498841240764,0.6867091165308999,,,trailing_stop,-0.44660474811090617
buy,1925.24,0.15122471389869566,9707.354973054438,0.6636352550750819,1918.8810714285714,1937.9578571428574,signal,
take_profit,1938.59,,10000.51769117131,0.0,,,take_profit,2.018849930547573
buy,1936.57,0.17192220488564852,9667.578306855909,0.8163088341197758,1928.1682142857144,1953.3735714285713,signal,
trailing_stop,1937.7,,10000.71196326283,0.6470631262326273,,,trailing_stop,0.1942720915208016
buy,1937.51,0.14780639274203233,9714.335599261214,0.6572073931411565,1928.702857142857,1955.1242857142856,signal,
trailing_stop,1935.86,,10000.468082714804,0.6977750358078492,,,trailing_stop,-0.2438805480243668
buy,1933.55,0.1491503456470426,9712.078431888965,0.66239432808613,1925.1821428571427,1950.2857142857144,signal,
close_long,1930.06,,9999.947548008497,0.628268553823015,,,signal,-0.52053470630818
buy,1932.28,0.14355975329646659,9722.5499079088,0.6174657711672611,1925.6407142857142,1945.5585714285712,signal,
take_profit,1949.19,,10002.37514343674,0.0,,,take_profit,2.427595428243262
buy,1943.76,0.16469621072587032,9682.245236876222,0.7710695717279297,1935.4975,1960.2849999999999,signal,
trailing_stop,1945.06,,10002.589248510683,0.6273525544327007,,,trailing_stop,0.21410507394362394
buy,1945.91,0.14038639029464617,9729.409967772428,0.6213591147932241,1934.6153571428572,1968.4992857142859,signal,
trailing_stop,1939.32,,10001.664102198642,0.0,,,trailing_stop,-0.9251463120417387
buy,1939.41,0.14466320450891526,9721.102836742006,0.6258650434220081,1933.3064285714286,1951.617142857143,signal,
trailing_stop,1932.18,,10000.618187230042,0.6564469200820275,,,trailing_stop,-1.04591496859946
buy,1933.11,0.14550835508564694,9719.334530930428,0.6320073721061434,1926.1546428571428,1947.0207142857143,signal,
trailing_stop,1925.51,,9999.512323731391,0.6053369802892672,,,trailing_stop,-1.1058634986509035
buy,1925.15,0.1473227296779465,9715.893970691892,0.6534348200076616,1915.0714285714287,1945.307142857143,signal,
trailing_stop,1924.72,,9999.44897495763,0.6323050776557977,,,trailing_stop,-0.06334877376152637
buy,1926.21,0.14613266450191115,9717.966775267403,0.6275472996053704,1920.5582142857145,1937.5135714285711,signal,
trailing_stop,1927.91,,9999.697400487283,0.6901002993969013,,,trailing_stop,0.2484255296532556
buy,1928.98,0.1496976700903492,9710.9335888364,0.6479328104611863,1924.3871428571429,1938.1657142857143,signal,
trailing_stop,1923.83,,9998.926457486317,0.0,,,trailing_stop,-0.770943000965312
buy,1925.01,0.15012309618859557,9709.937996092309,0.6545361404233364,1919.0492857142858,1936.9314285714286,signal,
trailing_stop,1920.08,,9998.186350622107,0.0,,,trailing_stop,-0.7401068642097857
buy,1920.13,0.14856487261106335,9712.922481775426,0.6397121092063531,1914.7050000000002,1930.9800000000002,signal,
trailing_stop,1918.61,,9997.960532015737,0.6632848486523524,,,trailing_stop,-0.22581860636884737
buy,1913.28,0.14728287774136886,9716.16714769073,0.6478553651264365,1903.1192857142858,1933.6014285714284,signal,
trailing_stop,1906.39,,9996.945752988098,0.6692020566347119,,,trailing_stop,-1.0147790276380126
buy,1905.37,0.15845680916798643,9695.026902503692,0.7066737003032757,1897.7432142857142,1920.6235714285713,signal,
trailing_stop,1896.28,,9995.505380592762,0.5969787778028963,,,trailing_stop,-1.4403723953369838
buy,1878.58,0.1456986590903057,9721.798793598895,0.6529087877717663,1861.085357142857,1913.5692857142858,signal,
trailing_stop,1878.94,,9995.557832110035,0.6868954248854788,,,trailing_stop,0.0524515172725286
buy,1885.39,0.15483238055991003,9703.638410126186,0.705949147133587,1870.472142857143,1915.2257142857145,signal,
take_profit,1915.44,,10000.210545145861,0.739571726966826,,,take_profit,4.652713035825289
buy,1910.61,0.16466148482651607,9685.606665621472,0.7819797690053102,1896.3367857142857,1939.1564285714283,signal,
trailing_stop,1900.0,,9998.463486791852,0.6664120479645204,,,trailing_stop,-1.747058354009319
buy,1901.95,0.14924127942421767,9714.614035390961,0.6586586138182285,1891.0017857142857,1923.8464285714288,signal,
trailing_stop,1894.04,,9997.282988271607,0.0,,,trailing_stop,-1.180498520245574
buy,1896.11,0.1502664117192517,9712.361342346616,0.6593935572845907,1885.9082142857142,1916.5135714285714,signal,
trailing_stop,1883.23,,9995.347556888662,0.5929811622143242,,,trailing_stop,-1.9354313829439442
buy,1882.74,0.14627372477953612,9719.95216429724,0.6532370321738195,1866.4810714285716,1915.257857142857,signal,
trailing_stop,1886.17,,9995.849275764656,0.6246479749089355,,,trailing_stop,0.5017188759938183
buy,1886.89,0.1508658355978442,9711.18203923344,0.6586084360064387,1876.747142857143,1907.1757142857143,signal,
trailing_stop,1874.69,,9994.008712570361,0.0,,,trailing_stop,-1.840563194293706
buy,1882.22,0.16086380228518704,9691.227646633137,0.72853296586997,1870.7003571428572,1905.2592857142859,signal,
close_long,1898.76,,9996.669399860159,0.7494338940531682,,,signal,2.660687289796988
buy,1900.8,0.1657399709780464,9681.630863025088,0.7720503014654372,1888.998214285714,1924.4035714285715,signal,
trailing_stop,1905.47,,9997.443405524626,0.0,,,trailing_stop,0.7740056644674888
buy,1905.95,0.1497068623355662,9712.109611256154,0.6503991111857417,1898.1089285714286,1921.632142857143,signal,
trailing_stop,1901.54,,9996.783198261726,0.6956719331730918,,,trailing_stop,-0.6602072628998592
buy,1901.51,0.14336605951355563,9724.171202436106,0.6071796892114212,1893.5457142857142,1917.4385714285715,signal,
trailing_stop,1894.19,,9995.733758706088,0.6011689143064227,,,trailing_stop,-1.0494395556392182
buy,1897.8,0.14278494443247308,9724.756491162141,0.6006247467416925,1890.1,1913.2,signal,
trailing_stop,1889.78,,9994.58862345174,0.0,,,trailing_stop,-1.1451352543484314
buy,1887.94,0.1436599387164938,9723.367278751322,0.6105002005690623,1878.1203571428573,1907.5792857142858,signal,
close_long,1901.62,,9996.553891413381,0.7281889206533869,,,signal,1.9652679616416115
buy,1900.74,0.16979039334364393,9673.826499169383,0.7851379411549626,1891.745357142857,1918.7292857142857,signal,
trailing_stop,1893.46,,9995.31781734984,0.6476007178983605,,,trailing_stop,-1.2360740635417231
buy,1898.94,0.15984049665359493,9691.790304634462,0.71675486435683,1890.3828571428571,1916.0542857142857,signal,
